time,AI_name,Delegate,Avg_infTime
1,segmentor,CPU,58.9750003814697
2,segmentor,GPU,18.8500003814697
3,segmentor,NNAPI,33
4,MN v2 1.0 Q 224,CPU,18.7
5,MN v2 1.0 Q 224,GPU,16
6,MN v2 1.0 Q 224,NNAPI,7
7,MN v1 1.0 Q 224,CPU,21
8,MN v1 1.0 Q 224,GPU,17
9,MN v1 1.0 Q 224,NNAPI,6.8
10,efficientdet-lite0,CPU,68
11,efficientdet-lite0,GPU,72
12,mobilenetDetv1,CPU,39
13,mobilenetDetv1,GPU,38
14,mobilenetDetv1,NNAPI,13
15,efficientclass-lite0,CPU,30
16,efficientclass-lite0,GPU,29
17,efficientclass-lite0,NNAPI,10
18,inception_v1_224_quant,CPU,36
19,inception_v1_224_quant,GPU,28
20,inception_v1_224_quant,NNAPI,8
21,mobilenetClassv1,CPU,28.5
22,mobilenetClassv1,GPU,26
23,mobilenetClassv1,NNAPI,9.5
24,deeplabv3,CPU,46
25,deeplabv3,GPU,45
26,deeplabv4,NNAPI,27
27,model_metadata,CPU,14
28,model_metadata,GPU,12.7
29,model_metadata,NNAPI,18
