time,AI_name,Delegate,Avg_infTime
2023-08-17,segmentor,CPU,52.9750003814697
2023-08-17,segmentor,GPU,18.8500003814697
2023-08-17,MN v2 1.0 Q 224,CPU,24.2087497711182
2023-08-17,MN v2 1.0 Q 224,GPU,20.6525001525879
2023-08-17,MN v2 1.0 Q 224,NNAPI,9.65749990940094
2023-08-17,MN v1 1.0 Q 224,CPU,40.0474996566773
2023-08-17,MN v1 1.0 Q 224,GPU,22.64874958992
2023-08-17,MN v1 1.0 Q 224,NNAPI,9.32249999046326
2023-08-17,efficientdet-lite0,CPU,101.098749160767
2023-08-17,efficientdet-lite0,GPU,110.262500762939
2023-08-17,mobilenetDetv1,CPU,45.1487498283386
2023-08-17,mobilenetDetv1,GPU,52.9787497520447
2023-08-17,mobilenetDetv1,NNAPI,16.2500001192093
2023-08-17,efficientclass-lite0,CPU,36.3150000572205
2023-08-17,efficientclass-lite0,GPU,37.0337505340576
2023-08-17,efficientclass-lite0,NNAPI,18.0675001144409
2023-08-17,inception_v1_224_quant,CPU,54.2549996376038
2023-08-17,inception_v1_224_quant,GPU,51.2949995994568
2023-08-17,inception_v1_224_quant,NNAPI,7.30625003576279
2023-08-17,mobilenetClassv1,CPU,29.9674999713898
2023-08-17,mobilenetClassv1,GPU,30.2600002288818
2023-08-17,mobilenetClassv1,NNAPI,10.4137499332428
2023-08-17,deeplabv3,CPU,85.5837507247925
2023-08-17,deeplabv3,GPU,89.8462495803833
2023-08-17,model_metadata,CPU,18.806250333786
2023-08-17,model_metadata,GPU,18.1600003242493
2023-08-17,model_metadata,NNAPI,30.3362498283386
2023-08-18,ssd_mobilenet_v1_1_metadata_1,CPU,21.5
2023-08-19,ssd_mobilenet_v1_1_metadata_1,GPU,20.3
2023-08-20,ssd_mobilenet_v1_1_metadata_1,NNAPI,7.5
2023-08-21,mnist,CPU,4.5
2023-08-22,mnist,GPU,4.2
2023-08-23,mnist,NNAPI,8.2
